target_rabi_mhz,experimental_rabi_mhz,detuning_mhz,experimental_excited_probability,simulated_total_excited_probability,experiment_minus_simulation
2.5,2.520252178462184,-0.28,0.491,0.4814003526930586,0.009599647306941406
2.5,2.520252178462184,-0.275,0.511,0.4825388027855303,0.028461197214469713
2.5,2.520252178462184,-0.27,0.497,0.4836737620451973,0.0133262379548027
2.5,2.520252178462184,-0.265,0.501,0.48480872130486424,0.016191278695135758
2.5,2.520252178462184,-0.26,0.509,0.4859436805645312,0.02305631943546882
2.5,2.520252178462184,-0.255,0.482,0.48702364521163743,-0.005023645211637451
2.5,2.520252178462184,-0.25,0.495,0.4854638684558304,0.009536131544169602
2.5,2.520252178462184,-0.245,0.492,0.48390409170002335,0.00809590829997664
2.5,2.520252178462184,-0.24,0.502,0.48234431494421637,0.019655685055783634
2.5,2.520252178462184,-0.235,0.504,0.4807845381884093,0.023215461811590676
2.5,2.520252178462184,-0.23,0.493,0.47758790405112367,0.015412095948876325
2.5,2.520252178462184,-0.225,0.48,0.4742845183454807,0.005715481654519294
2.5,2.520252178462184,-0.22,0.482,0.4709811326398377,0.011018867360162277
2.5,2.520252178462184,-0.215,0.533,0.4676777469341948,0.06532225306580525
2.5,2.520252178462184,-0.21,0.476,0.46602893358797226,0.009971066412027718
2.5,2.520252178462184,-0.205,0.48,0.4646558823016531,0.01534411769834687
2.5,2.520252178462184,-0.2,0.461,0.463282831015334,-0.002282831015333997
2.5,2.520252178462184,-0.195,0.506,0.4619097797290149,0.04409022027098508
2.5,2.520252178462184,-0.19,0.472,0.46284942473960855,0.009150575260391425
2.5,2.520252178462184,-0.185,0.483,0.4644585344677295,0.018541465532270485
2.5,2.520252178462184,-0.18,0.484,0.46606764419585045,0.017932355804149536
2.5,2.520252178462184,-0.175,0.498,0.4676767539239714,0.030323246076028598
2.5,2.520252178462184,-0.17,0.504,0.46865317264340217,0.03534682735659783
2.5,2.520252178462184,-0.165,0.492,0.4693504629766461,0.022649537023353872
2.5,2.520252178462184,-0.16,0.51,0.47004775330989007,0.03995224669010994
2.5,2.520252178462184,-0.155,0.478,0.470745043643134,0.00725495635686596
2.5,2.520252178462184,-0.15,0.512,0.46848773633863694,0.04351226366136307
2.5,2.520252178462184,-0.145,0.474,0.46435918386357056,0.00964081613642942
2.5,2.520252178462184,-0.14,0.495,0.4602306313885042,0.03476936861149582
2.5,2.520252178462184,-0.135,0.498,0.45610207891343774,0.04189792108656226
2.5,2.520252178462184,-0.13,0.508,0.4508073307131981,0.05719266928680189
2.5,2.520252178462184,-0.125,0.484,0.4444809478329975,0.039519052167002466
2.5,2.520252178462184,-0.12,0.504,0.4381545649527969,0.06584543504720308
2.5,2.520252178462184,-0.115,0.495,0.4318281820725963,0.06317181792740367
2.5,2.520252178462184,-0.11,0.497,0.42746807392025576,0.06953192607974423
2.5,2.520252178462184,-0.105,0.491,0.4255211211157433,0.06547887888425669
