series,target_rabi_mhz,actual_rabi_mhz,detuning_mhz,excited_probability
current_echo_experiment,25.0,,0.145,0.554
current_echo_experiment,25.0,,0.15,0.539
current_echo_experiment,25.0,,0.155,0.547
current_echo_experiment,25.0,,0.16,0.513
current_echo_experiment,25.0,,0.165,0.531
current_echo_experiment,25.0,,0.17,0.514
current_echo_experiment,25.0,,0.175,0.516
current_echo_experiment,25.0,,0.18,0.479
current_echo_experiment,25.0,,0.185,0.483
current_echo_experiment,25.0,,0.19,0.518
current_echo_experiment,25.0,,0.195,0.495
current_echo_experiment,25.0,,0.2,0.501
current_echo_experiment,25.0,,0.205,0.51
current_echo_experiment,25.0,,0.21,0.507
current_echo_experiment,25.0,,0.215,0.489
current_echo_experiment,25.0,,0.22,0.532
current_echo_experiment,25.0,,0.225,0.54
current_echo_experiment,25.0,,0.23,0.559
current_echo_experiment,25.0,,0.235,0.556
current_echo_experiment,25.0,,0.24,0.579
current_echo_experiment,25.0,,0.245,0.541
current_echo_experiment,25.0,,0.25,0.617
current_echo_experiment,25.0,,0.255,0.609
current_echo_experiment,25.0,,0.26,0.599
current_echo_experiment,25.0,,0.265,0.595
current_echo_experiment,25.0,,0.27,0.63
current_echo_experiment,25.0,,0.275,0.623
current_echo_experiment,25.0,,0.28,0.612
current_echo_experiment,25.0,,0.285,0.64
current_echo_experiment,25.0,,0.29,0.62
current_echo_experiment,25.0,,0.295,0.632
current_echo_experiment,25.0,,0.3,0.631
current_echo_experiment,25.0,,0.305,0.603
current_echo_experiment,25.0,,0.31,0.58
current_echo_experiment,25.0,,0.315,0.6
current_echo_experiment,25.0,,0.32,0.573
current_echo_experiment,25.0,,0.325,0.548
current_echo_experiment,25.0,,0.33,0.558
current_echo_experiment,25.0,,0.335,0.532
current_echo_experiment,25.0,,0.34,0.53
current_echo_experiment,25.0,,0.345,0.565
current_echo_experiment,25.0,,0.35,0.559
current_echo_experiment,25.0,,0.355,0.555
current_echo_experiment,25.0,,0.36,0.575
current_echo_experiment,25.0,,0.365,0.542
current_echo_experiment,25.0,,0.37,0.55
current_echo_experiment,25.0,,0.375,0.563
current_echo_experiment,25.0,,0.38,0.569
current_echo_experiment,25.0,,0.385,0.574
current_echo_experiment,25.0,,0.39,0.597
current_echo_experiment,25.0,,0.395,0.6
current_echo_experiment,25.0,,0.4,0.581
current_echo_experiment,25.0,,0.405,0.61
current_echo_experiment,25.0,,0.41,0.588
current_echo_experiment,25.0,,0.415,0.63
current_echo_experiment,25.0,,0.42,0.591
current_echo_experiment,25.0,,0.425,0.607
current_echo_experiment,25.0,,0.43,0.622
current_echo_experiment,25.0,,0.435,0.612
current_echo_experiment,25.0,,0.44,0.593
current_echo_experiment,25.0,,0.445,0.604
current_echo_experiment,25.0,,0.45,0.59
current_echo_experiment,25.0,,0.455,0.596
current_echo_experiment,25.0,,0.46,0.573
current_echo_experiment,25.0,,0.465,0.57
current_echo_experiment,25.0,,0.47,0.565
current_echo_experiment,25.0,,0.475,0.568
current_echo_experiment,25.0,,0.48,0.553
current_echo_experiment,25.0,,0.485,0.555
current_echo_experiment,25.0,,0.49,0.572
current_echo_experiment,25.0,,0.495,0.549
current_echo_experiment,25.0,,0.5,0.565
current_noecho_experiment,2.5,,-0.5,0.25462962962962965
current_noecho_experiment,2.5,,-0.495,0.25462962962962965
current_noecho_experiment,2.5,,-0.49,0.23148148148148148
current_noecho_experiment,2.5,,-0.485,0.2361111111111111
